State,year,commodity,units,Exports
Wyoming,2002,Total exports,Million dollars,136.609
Alabama,2003,Total exports,Million dollars,718.8592
Alaska,2003,Total exports,Million dollars,8.1859
Arizona,2003,Total exports,Million dollars,550.6952
Arkansas,2003,Total exports,Million dollars,1812.9412
California,2003,Total exports,Million dollars,7805.7667
Colorado,2003,Total exports,Million dollars,867.9197
Connecticut,2003,Total exports,Million dollars,142.9272
Delaware,2003,Total exports,Million dollars,120.6115
Florida,2003,Total exports,Million dollars,1877.406
Georgia,2003,Total exports,Million dollars,1436.4643
Hawaii,2003,Total exports,Million dollars,157.037
Idaho,2003,Total exports,Million dollars,716.1003
Illinois,2003,Total exports,Million dollars,3736.5463
Indiana,2003,Total exports,Million dollars,1865.4719
Iowa,2003,Total exports,Million dollars,4357.2222
Kansas,2003,Total exports,Million dollars,2264.9875
Kentucky,2003,Total exports,Million dollars,1685.9939
Louisiana,2003,Total exports,Million dollars,794.1916
Maine,2003,Total exports,Million dollars,122.7843
Maryland,2003,Total exports,Million dollars,282.8272
Massachusetts,2003,Total exports,Million dollars,119.4089
Michigan,2003,Total exports,Million dollars,1096.4007
Minnesota,2003,Total exports,Million dollars,2839.1743
Mississippi,2003,Total exports,Million dollars,1156.0697
Missouri,2003,Total exports,Million dollars,1719.226
Montana,2003,Total exports,Million dollars,514.7793
Nebraska,2003,Total exports,Million dollars,2856.4015
Nevada,2003,Total exports,Million dollars,60.1338
New Hampshire,2003,Total exports,Million dollars,34.9045
New Jersey,2003,Total exports,Million dollars,260.8745
New Mexico,2003,Total exports,Million dollars,315.2983
New York,2003,Total exports,Million dollars,483.2091
North Carolina,2003,Total exports,Million dollars,2509.1713
North Dakota,2003,Total exports,Million dollars,1656.873
Ohio,2003,Total exports,Million dollars,1570.9676
Oklahoma,2003,Total exports,Million dollars,916.6322
Oregon,2003,Total exports,Million dollars,902.3206
Pennsylvania,2003,Total exports,Million dollars,728.9714
Rhode Island,2003,Total exports,Million dollars,17.3022
South Carolina,2003,Total exports,Million dollars,582.5447
South Dakota,2003,Total exports,Million dollars,1392.9633
Tennessee,2003,Total exports,Million dollars,1030.9277
Texas,2003,Total exports,Million dollars,3246.3872
Utah,2003,Total exports,Million dollars,181.0187
Vermont,2003,Total exports,Million dollars,51.0771
Virginia,2003,Total exports,Million dollars,672.9818
Washington,2003,Total exports,Million dollars,1551.0896
West Virginia,2003,Total exports,Million dollars,64.6467
Wisconsin,2003,Total exports,Million dollars,1097.1301
Wyoming,2003,Total exports,Million dollars,144.3941
Alabama,2004,Total exports,Million dollars,721.4104
Alaska,2004,Total exports,Million dollars,8.3175
Arizona,2004,Total exports,Million dollars,630.504
Arkansas,2004,Total exports,Million dollars,1926.8425
California,2004,Total exports,Million dollars,8662.8099
Colorado,2004,Total exports,Million dollars,732.9632
Connecticut,2004,Total exports,Million dollars,139.028
Delaware,2004,Total exports,Million dollars,136.797
Florida,2004,Total exports,Million dollars,1868.7601
Georgia,2004,Total exports,Million dollars,1532.6603
Hawaii,2004,Total exports,Million dollars,161.9328
Idaho,2004,Total exports,Million dollars,772.0812
Illinois,2004,Total exports,Million dollars,3776.2904
Indiana,2004,Total exports,Million dollars,2245.7639
Iowa,2004,Total exports,Million dollars,4250.0582
Kansas,2004,Total exports,Million dollars,1903.9239
Kentucky,2004,Total exports,Million dollars,1707.132
Louisiana,2004,Total exports,Million dollars,802.5051
Maine,2004,Total exports,Million dollars,126.254
Maryland,2004,Total exports,Million dollars,323.2626
Massachusetts,2004,Total exports,Million dollars,121.6967
Michigan,2004,Total exports,Million dollars,1130.1912
Minnesota,2004,Total exports,Million dollars,2804.0235
Mississippi,2004,Total exports,Million dollars,1179.0945
Missouri,2004,Total exports,Million dollars,1750.7553
Montana,2004,Total exports,Million dollars,627.3028
Nebraska,2004,Total exports,Million dollars,2345.7574
Nevada,2004,Total exports,Million dollars,55.4399
New Hampshire,2004,Total exports,Million dollars,36.8171
New Jersey,2004,Total exports,Million dollars,267.0519
New Mexico,2004,Total exports,Million dollars,316.2973
New York,2004,Total exports,Million dollars,538.6489
North Carolina,2004,Total exports,Million dollars,2766.2801
North Dakota,2004,Total exports,Million dollars,1677.7728
Ohio,2004,Total exports,Million dollars,1707.923
Oklahoma,2004,Total exports,Million dollars,954.3389
Oregon,2004,Total exports,Million dollars,979.2819
Pennsylvania,2004,Total exports,Million dollars,856.9332
Rhode Island,2004,Total exports,Million dollars,18.5054
South Carolina,2004,Total exports,Million dollars,613.3628
South Dakota,2004,Total exports,Million dollars,1320.8458
Tennessee,2004,Total exports,Million dollars,889.9084
Texas,2004,Total exports,Million dollars,3559.0849
Utah,2004,Total exports,Million dollars,173.8246
Vermont,2004,Total exports,Million dollars,55.1121
Virginia,2004,Total exports,Million dollars,706.1419
Washington,2004,Total exports,Million dollars,1646.588
West Virginia,2004,Total exports,Million dollars,59.3351
Wisconsin,2004,Total exports,Million dollars,1137.9142
Wyoming,2004,Total exports,Million dollars,107.9911
Alabama,2005,Total exports,Million dollars,770.5408
Alaska,2005,Total exports,Million dollars,9.6992
Arizona,2005,Total exports,Million dollars,661.0009
Arkansas,2005,Total exports,Million dollars,1953.3856
California,2005,Total exports,Million dollars,9641.9421
Colorado,2005,Total exports,Million dollars,822.7798
Connecticut,2005,Total exports,Million dollars,164.6678
Delaware,2005,Total exports,Million dollars,140.856
Florida,2005,Total exports,Million dollars,2079.2715
Georgia,2005,Total exports,Million dollars,1498.1623
Hawaii,2005,Total exports,Million dollars,183.5649
Idaho,2005,Total exports,Million dollars,816.6098
Illinois,2005,Total exports,Million dollars,3704.5802
Indiana,2005,Total exports,Million dollars,1904.5294
Iowa,2005,Total exports,Million dollars,4413.1992
Kansas,2005,Total exports,Million dollars,2203.5245
Kentucky,2005,Total exports,Million dollars,1759.3108
Louisiana,2005,Total exports,Million dollars,784.3256
Maine,2005,Total exports,Million dollars,133.5106
Maryland,2005,Total exports,Million dollars,317.2025
Massachusetts,2005,Total exports,Million dollars,129.7131
Michigan,2005,Total exports,Million dollars,1141.8894
Minnesota,2005,Total exports,Million dollars,2715.1148
Mississippi,2005,Total exports,Million dollars,1106.4825
Missouri,2005,Total exports,Million dollars,1708.1335
Montana,2005,Total exports,Million dollars,636.4012
Nebraska,2005,Total exports,Million dollars,2494.973
Nevada,2005,Total exports,Million dollars,63.53
New Hampshire,2005,Total exports,Million dollars,37.6984
New Jersey,2005,Total exports,Million dollars,291.0929
New Mexico,2005,Total exports,Million dollars,366.8301
New York,2005,Total exports,Million dollars,575.6713
North Carolina,2005,Total exports,Million dollars,2574.3733
North Dakota,2005,Total exports,Million dollars,1622.3027
Ohio,2005,Total exports,Million dollars,1672.3749
Oklahoma,2005,Total exports,Million dollars,997.9564
Oregon,2005,Total exports,Million dollars,994.2668
Pennsylvania,2005,Total exports,Million dollars,856.8204
Rhode Island,2005,Total exports,Million dollars,19.2655
South Carolina,2005,Total exports,Million dollars,544.4292
South Dakota,2005,Total exports,Million dollars,1422.2758
Tennessee,2005,Total exports,Million dollars,915.076
Texas,2005,Total exports,Million dollars,3647.5339
Utah,2005,Total exports,Million dollars,201.8196
Vermont,2005,Total exports,Million dollars,59.584
Virginia,2005,Total exports,Million dollars,647.717
Washington,2005,Total exports,Million dollars,1609.8175
West Virginia,2005,Total exports,Million dollars,63.8029
Wisconsin,2005,Total exports,Million dollars,1180.8499
Wyoming,2005,Total exports,Million dollars,112.3133
Alabama,2006,Total exports,Million dollars,698.0515
Alaska,2006,Total exports,Million dollars,9.453
Arizona,2006,Total exports,Million dollars,705.2958
Arkansas,2006,Total exports,Million dollars,2072.7668
California,2006,Total exports,Million dollars,10324.3336
Colorado,2006,Total exports,Million dollars,958.848
Connecticut,2006,Total exports,Million dollars,176.1091
Delaware,2006,Total exports,Million dollars,137.7973
Florida,2006,Total exports,Million dollars,2263.7771
Georgia,2006,Total exports,Million dollars,1545.0387
Hawaii,2006,Total exports,Million dollars,196.38
Idaho,2006,Total exports,Million dollars,920.6866
Illinois,2006,Total exports,Million dollars,4101.506
Indiana,2006,Total exports,Million dollars,2406.0342
Iowa,2006,Total exports,Million dollars,5283.6944
Kansas,2006,Total exports,Million dollars,2329.2633
Kentucky,2006,Total exports,Million dollars,1856.395
Louisiana,2006,Total exports,Million dollars,831.4568
Maine,2006,Total exports,Million dollars,149.8123
Maryland,2006,Total exports,Million dollars,335.6271
Massachusetts,2006,Total exports,Million dollars,151.6337
Michigan,2006,Total exports,Million dollars,1430.2263
Minnesota,2006,Total exports,Million dollars,3510.5648
Mississippi,2006,Total exports,Million dollars,1171.9659
Missouri,2006,Total exports,Million dollars,1878.267
Montana,2006,Total exports,Million dollars,666.4916
Nebraska,2006,Total exports,Million dollars,3083.3306
Nevada,2006,Total exports,Million dollars,77.7038
New Hampshire,2006,Total exports,Million dollars,42.0815
New Jersey,2006,Total exports,Million dollars,335.6808
New Mexico,2006,Total exports,Million dollars,396.744
New York,2006,Total exports,Million dollars,671.3556
North Carolina,2006,Total exports,Million dollars,2920.4714
North Dakota,2006,Total exports,Million dollars,1882.0576
Ohio,2006,Total exports,Million dollars,1959.4277
Oklahoma,2006,Total exports,Million dollars,903.1855
Oregon,2006,Total exports,Million dollars,1218.7842
Pennsylvania,2006,Total exports,Million dollars,959.677
Rhode Island,2006,Total exports,Million dollars,21.1582
South Carolina,2006,Total exports,Million dollars,622.1057
South Dakota,2006,Total exports,Million dollars,1442.8839
Tennessee,2006,Total exports,Million dollars,961.8659
Texas,2006,Total exports,Million dollars,4157.5245
Utah,2006,Total exports,Million dollars,225.2453
Vermont,2006,Total exports,Million dollars,67.0028
Virginia,2006,Total exports,Million dollars,705.6982
Washington,2006,Total exports,Million dollars,1838.149
West Virginia,2006,Total exports,Million dollars,66.2384
Wisconsin,2006,Total exports,Million dollars,1525.6254
Wyoming,2006,Total exports,Million dollars,131.9373
Alabama,2007,Total exports,Million dollars,844.2346
Alaska,2007,Total exports,Million dollars,10.2091
Arizona,2007,Total exports,Million dollars,842.3754
Arkansas,2007,Total exports,Million dollars,2635.7209
California,2007,Total exports,Million dollars,11537.7698
Colorado,2007,Total exports,Million dollars,1279.3407
Connecticut,2007,Total exports,Million dollars,209.216
Delaware,2007,Total exports,Million dollars,187.3349
Florida,2007,Total exports,Million dollars,2586.6879
Georgia,2007,Total exports,Million dollars,1949.4151
Hawaii,2007,Total exports,Million dollars,209.2765
Idaho,2007,Total exports,Million dollars,1214.5641
Illinois,2007,Total exports,Million dollars,5871.083
Indiana,2007,Total exports,Million dollars,3256.0287
Iowa,2007,Total exports,Million dollars,6854.466
Kansas,2007,Total exports,Million dollars,3395.0362
Kentucky,2007,Total exports,Million dollars,2051.776
Louisiana,2007,Total exports,Million dollars,1144.5532
Maine,2007,Total exports,Million dollars,168.5817
Maryland,2007,Total exports,Million dollars,425.7251
Massachusetts,2007,Total exports,Million dollars,180.2088
Michigan,2007,Total exports,Million dollars,1826.1074
Minnesota,2007,Total exports,Million dollars,4458.3735
Mississippi,2007,Total exports,Million dollars,1491.7442
Missouri,2007,Total exports,Million dollars,2614.2642
Montana,2007,Total exports,Million dollars,943.7895
Nebraska,2007,Total exports,Million dollars,4186.9342
Nevada,2007,Total exports,Million dollars,84.2339
New Hampshire,2007,Total exports,Million dollars,51.5146
New Jersey,2007,Total exports,Million dollars,398.0469
New Mexico,2007,Total exports,Million dollars,489.425
New York,2007,Total exports,Million dollars,871.3041
North Carolina,2007,Total exports,Million dollars,3173.2131
North Dakota,2007,Total exports,Million dollars,3035.734
Ohio,2007,Total exports,Million dollars,2462.5545
Oklahoma,2007,Total exports,Million dollars,1205.635
Oregon,2007,Total exports,Million dollars,1411.1342
Pennsylvania,2007,Total exports,Million dollars,1208.5964
Rhode Island,2007,Total exports,Million dollars,22.8046
South Carolina,2007,Total exports,Million dollars,648.1945
South Dakota,2007,Total exports,Million dollars,2193.278
Tennessee,2007,Total exports,Million dollars,1070.0559
Texas,2007,Total exports,Million dollars,4945.9674
Utah,2007,Total exports,Million dollars,263.833
Vermont,2007,Total exports,Million dollars,89.2323
Virginia,2007,Total exports,Million dollars,803.1058
Washington,2007,Total exports,Million dollars,2403.3998
West Virginia,2007,Total exports,Million dollars,78.5212
Wisconsin,2007,Total exports,Million dollars,1837.0186
Wyoming,2007,Total exports,Million dollars,152.6594
Alabama,2008,Total exports,Million dollars,1065.6899
Alaska,2008,Total exports,Million dollars,11.304
Arizona,2008,Total exports,Million dollars,1030.3711
Arkansas,2008,Total exports,Million dollars,3560.7423
California,2008,Total exports,Million dollars,13096.0926
Colorado,2008,Total exports,Million dollars,1429.1452
Connecticut,2008,Total exports,Million dollars,216.1543
Delaware,2008,Total exports,Million dollars,243.2259
Florida,2008,Total exports,Million dollars,2879.5634
Georgia,2008,Total exports,Million dollars,2277.2471
Hawaii,2008,Total exports,Million dollars,279.8414
Idaho,2008,Total exports,Million dollars,1490.8791
Illinois,2008,Total exports,Million dollars,7678.9996
Indiana,2008,Total exports,Million dollars,4437.4205
Iowa,2008,Total exports,Million dollars,9891.1978
Kansas,2008,Total exports,Million dollars,4075.4498
Kentucky,2008,Total exports,Million dollars,1653.7498
Louisiana,2008,Total exports,Million dollars,1382.5059
Maine,2008,Total exports,Million dollars,202.5593
Maryland,2008,Total exports,Million dollars,542.5587
Massachusetts,2008,Total exports,Million dollars,249.6344
Michigan,2008,Total exports,Million dollars,2361.2437
Minnesota,2008,Total exports,Million dollars,6739.5529
Mississippi,2008,Total exports,Million dollars,1845.4652
Missouri,2008,Total exports,Million dollars,3616.397
Montana,2008,Total exports,Million dollars,1120.2577
Nebraska,2008,Total exports,Million dollars,5490.4778
Nevada,2008,Total exports,Million dollars,101.3419
New Hampshire,2008,Total exports,Million dollars,69.0639
New Jersey,2008,Total exports,Million dollars,402.17
New Mexico,2008,Total exports,Million dollars,542.0667
New York,2008,Total exports,Million dollars,1236.2801
North Carolina,2008,Total exports,Million dollars,3763.8438
North Dakota,2008,Total exports,Million dollars,3905.2973
Ohio,2008,Total exports,Million dollars,3454.4113
Oklahoma,2008,Total exports,Million dollars,1725.8493
Oregon,2008,Total exports,Million dollars,1550.2883
Pennsylvania,2008,Total exports,Million dollars,1579.7657
Rhode Island,2008,Total exports,Million dollars,31.5449
South Carolina,2008,Total exports,Million dollars,764.1461
South Dakota,2008,Total exports,Million dollars,3534.5895
Tennessee,2008,Total exports,Million dollars,1186.2595
Texas,2008,Total exports,Million dollars,6143.1865
Utah,2008,Total exports,Million dollars,315.1665
Vermont,2008,Total exports,Million dollars,142.3505
Virginia,2008,Total exports,Million dollars,954.2962
Washington,2008,Total exports,Million dollars,2717.8892
West Virginia,2008,Total exports,Million dollars,108.5687
Wisconsin,2008,Total exports,Million dollars,2430.4587
Wyoming,2008,Total exports,Million dollars,190.7332
Alabama,2009,Total exports,Million dollars,1029.8642
Alaska,2009,Total exports,Million dollars,10.9006
Arizona,2009,Total exports,Million dollars,866.35
Arkansas,2009,Total exports,Million dollars,2905.8257
California,2009,Total exports,Million dollars,12567.6196
Colorado,2009,Total exports,Million dollars,1204.9998
Connecticut,2009,Total exports,Million dollars,203.2409
Delaware,2009,Total exports,Million dollars,234.1008
Florida,2009,Total exports,Million dollars,2630.3344
Georgia,2009,Total exports,Million dollars,2035.6823
Hawaii,2009,Total exports,Million dollars,297.0578
Idaho,2009,Total exports,Million dollars,1165.7715
Illinois,2009,Total exports,Million dollars,6748.8558
Indiana,2009,Total exports,Million dollars,3850.7008
Iowa,2009,Total exports,Million dollars,8403.7701
Kansas,2009,Total exports,Million dollars,3360.5341
Kentucky,2009,Total exports,Million dollars,1526.777
Louisiana,2009,Total exports,Million dollars,1271.2932
Maine,2009,Total exports,Million dollars,193.3814
Maryland,2009,Total exports,Million dollars,530.0115
Massachusetts,2009,Total exports,Million dollars,191.3642
Michigan,2009,Total exports,Million dollars,1933.5633
Minnesota,2009,Total exports,Million dollars,5181.2637
Mississippi,2009,Total exports,Million dollars,1646.612
Missouri,2009,Total exports,Million dollars,2996.0689
Montana,2009,Total exports,Million dollars,809.6876
Nebraska,2009,Total exports,Million dollars,5032.1807
Nevada,2009,Total exports,Million dollars,98.016
New Hampshire,2009,Total exports,Million dollars,62.5677
New Jersey,2009,Total exports,Million dollars,384.468
New Mexico,2009,Total exports,Million dollars,495.889
New York,2009,Total exports,Million dollars,1026.798
North Carolina,2009,Total exports,Million dollars,3356.0406
North Dakota,2009,Total exports,Million dollars,2849.6162
Ohio,2009,Total exports,Million dollars,2894.9335
Oklahoma,2009,Total exports,Million dollars,1113.5388
Oregon,2009,Total exports,Million dollars,1300.9623
Pennsylvania,2009,Total exports,Million dollars,1352.642
Rhode Island,2009,Total exports,Million dollars,29.6963
South Carolina,2009,Total exports,Million dollars,728.3378
South Dakota,2009,Total exports,Million dollars,2864.3223
Tennessee,2009,Total exports,Million dollars,1205.7602
Texas,2009,Total exports,Million dollars,4567.3264
Utah,2009,Total exports,Million dollars,245.3177
Vermont,2009,Total exports,Million dollars,115.4305
Virginia,2009,Total exports,Million dollars,851.3048
Washington,2009,Total exports,Million dollars,2366.1125
West Virginia,2009,Total exports,Million dollars,108.0038
Wisconsin,2009,Total exports,Million dollars,1864.1903
Wyoming,2009,Total exports,Million dollars,201.2334
Alabama,2010,Total exports,Million dollars,1133.2204
Alaska,2010,Total exports,Million dollars,12.0657
Arizona,2010,Total exports,Million dollars,1082.4157
Arkansas,2010,Total exports,Million dollars,3237.7995
California,2010,Total exports,Million dollars,14404.8332
Colorado,2010,Total exports,Million dollars,1454.9235
Connecticut,2010,Total exports,Million dollars,232.6258
Delaware,2010,Total exports,Million dollars,244.9778
Florida,2010,Total exports,Million dollars,3017.619
Georgia,2010,Total exports,Million dollars,2516.6721
Hawaii,2010,Total exports,Million dollars,330.0207
Idaho,2010,Total exports,Million dollars,1491.8855
Illinois,2010,Total exports,Million dollars,7579.2113
Indiana,2010,Total exports,Million dollars,4387.0071
Iowa,2010,Total exports,Million dollars,9466.2502
Kansas,2010,Total exports,Million dollars,4476.4141
Kentucky,2010,Total exports,Million dollars,1686.0406
Louisiana,2010,Total exports,Million dollars,1590.7543
Maine,2010,Total exports,Million dollars,254.3252
Maryland,2010,Total exports,Million dollars,580.6302
Massachusetts,2010,Total exports,Million dollars,212.9908
Michigan,2010,Total exports,Million dollars,2406.1653
Minnesota,2010,Total exports,Million dollars,6207.6529
Mississippi,2010,Total exports,Million dollars,1844.8717
Missouri,2010,Total exports,Million dollars,3555.2448
Montana,2010,Total exports,Million dollars,1068.337
Nebraska,2010,Total exports,Million dollars,5377.8429
Nevada,2010,Total exports,Million dollars,111.5697
New Hampshire,2010,Total exports,Million dollars,68.5238
New Jersey,2010,Total exports,Million dollars,418.2898
New Mexico,2010,Total exports,Million dollars,687.5467
New York,2010,Total exports,Million dollars,1259.0126
North Carolina,2010,Total exports,Million dollars,3632.7201
North Dakota,2010,Total exports,Million dollars,3510.2973
Ohio,2010,Total exports,Million dollars,3481.8295
Oklahoma,2010,Total exports,Million dollars,1546.4515
Oregon,2010,Total exports,Million dollars,1387.6249
Pennsylvania,2010,Total exports,Million dollars,1674.5066
Rhode Island,2010,Total exports,Million dollars,32.3061
South Carolina,2010,Total exports,Million dollars,837.9686
South Dakota,2010,Total exports,Million dollars,2949.5261
Tennessee,2010,Total exports,Million dollars,1309.0749
Texas,2010,Total exports,Million dollars,6392.9493
Utah,2010,Total exports,Million dollars,320.8197
Vermont,2010,Total exports,Million dollars,146.1224
Virginia,2010,Total exports,Million dollars,946.5085
Washington,2010,Total exports,Million dollars,2833.0055
West Virginia,2010,Total exports,Million dollars,119.3916
Wisconsin,2010,Total exports,Million dollars,2484.5724
Wyoming,2010,Total exports,Million dollars,225.2038
Alabama,2011,Total exports,Million dollars,1417.4939
Alaska,2011,Total exports,Million dollars,13.2904
Arizona,2011,Total exports,Million dollars,1527.4678
Arkansas,2011,Total exports,Million dollars,3542.5101
California,2011,Total exports,Million dollars,17199.7423
Colorado,2011,Total exports,Million dollars,1882.6083
Connecticut,2011,Total exports,Million dollars,255.3091
Delaware,2011,Total exports,Million dollars,271.8406
Florida,2011,Total exports,Million dollars,3400.8425
Georgia,2011,Total exports,Million dollars,3201.5632
Hawaii,2011,Total exports,Million dollars,387.2701
Idaho,2011,Total exports,Million dollars,2029.9321
Illinois,2011,Total exports,Million dollars,8685.8063
Indiana,2011,Total exports,Million dollars,5064.9471
