key,Aggregate Commodity census data ,commodity ag exports data 2000-2023,Cash receipts by commodity State ranking 2008-2024,"Production expenses by type, State ranking 1975-2024",Price of Commodity by state,
harvesters,,,,,,
harvesting,,,,,,
harvesting_season,,,,,,
harvests,,,,,,
haying,hayalf,,Hay,,HAY & HAYLAGE,
hemp,,,,,HEMP,
hog,,,Hogs,,HOGS,
HOGS,,,,,HOGS,
horticultural,,,,,HORTICULTURE TOTAL  ?,
horticulture,,,,,HORTICULTURE TOTAL,
husbandry,,,,,,
ifad,,,,,,
imported_beef,,Beef,,,,
infestations,,,,,,
irrigated,?,,,,,
irrigation,?,,,,,
irrigation_water,,,,,,
kansas_wheat,wheat,,,,,
kiwifruit,,,Kiwifruit,,KIWIFRUIT,
lamb,livestock_sheep,Lamb,,,INCL LAMBS,
legumes,,,,,LEGUMES,
lemons,,,Lemons,,LEMONS,
lentil,,,Lentils,,LENTILS,
lentils,,,Lentils,,LENTILS,
livestock,,,,,LIVESTOCK,
livestock_farmers,?,,,,,
livestock_feed,?,,,,,
livestock_producers,?,,,,,
maize,,,,,,
malt,,,,,,
malting,,,,,,
mangoes,,"Fruits, fresh",,,MANGOES,
meat,,,Meat animals ,,RED MEAT,
meat_packers,?,,,,,
meat_processing,?,,,,,
meat_processors,?,,,,,
meat_products,?,,,,,
meatpacking,?,,,,,
melons,,,,,MELONS,
milk,livestock_milkcow,Dairy,,,MILK,
millers,,,,,,
milling,,,,,,
million_bushels,,,,,,
mustard,,,Mustard seed,,MUSTARD,
natural_rubber,,,,,,
nitrogen_fertilizer,?,,,,,
nutrient,,,,,,
oilseed,,,,,,
oilseed_crops,,,Oil crops,,,
oilseed_processing,,,,,,
oilseeds,,,,,,
olive_oil,,,Olives,,OLIVES,
onion,,"Veggies, fresh",Onions,,ONIONS,
onions,,"Veggies, fresh",Onions,,ONIONS,
orange_juice,,,Oranges,,ORANGES,
oranges,,"Fruits, fresh",Oranges,,ORANGES,
organic_farming,?,,,,,
paddy,,,,,,
paddy_rice,rice ,Rice,,,,
palm_oil,,,,,PALMS,
pastureland,?,,,,PASTURELAND,
pea,,"Veggies, fresh",,,PEAS,
peanut,,,Peanuts,,PEANUTS,
pear,,"Fruits, fresh",Pears,,PEARS,
pears,?,"Fruits, fresh",Pears,,PEARS,
peas,?,"Veggies, fresh ","Peas, Green",,PEAS,
pest,,,,,,
pesticide,?,,,Pesticide,,
pesticides,?,,,Pesticide ,,
pests,,,,,,
phytosanitary,?,,,,,
pig,,Pork,,,,
pineapples,,"Fruits, fresh",,,PINEAPPLES,
pistachio,tree nut,Tree Nut,Pistachios,,PISTACHIOS,
planted_area,,,,,,
planters,,,,,,
planting,,Plant Products ,,,,
plantings,,Plant Products ,,,,
poppies,,,,,,
poppy,,,,,,
pork,,Pork,,,,
pork_producers,,"Veggies, fresh",,,,
potato,,"Veggies, fresh",Potatoes,,POTATOES,
potatoes,,,Potatoes,,POTOTOES,
poultry,livestock_turkey,Other Poultry ,Poultry and eggs,,POULTRY TOTAL,
poultry_feed,,,,,,
poultry_meat, ,Poultry,Farm chickens,,CHICKENS,
poultry_producers,,,,,,
poultry_products,,,,,,
processed_foods,,"Fruits, processed / veggies, processed ",,,,
processed_meat,,,,,,
pulses,,,,,,
quintal,,,,,,
raisin,,"Fruits, processed ",,,,
ranchers,,,,,,
rapeseed,,,Rapeseed,,RAPESEED,
raw_cotton,,Cotton,,,,
raw_sugar,,,,,,
refined_sugar,,,,,,
replanting,,,,,,
reseeded,,,,,,
rice,rice ,Rice,Rice,,RICE,
rice_crop,rice ,Rice,Rice,,RICE,
rough_rice,rice ,Rice,Rice,,RICE,
rubber,,,,,,
rye,,,Rye ,,RYE,
ryegrass,,,,,RYEGRASS,
sackett,,,,,,
salmon,,,,,SALMON,
seafood,,,,,,
seed,,,,,FLOWER SEEDS + VEGETABLE SEEDS? (proxy),
seeding,,,,,,
seedling,,,,,,
seedlings,?,,,,,
seeds,,,,,,
severe_drought,?,,,,,
shrimp,,,,,,
shrimps,,,,,,
soil_moisture,,,,,,
sorghum,sorghumsilage,,Sorghum,,SORGHUM,
sowing,,,,,,
sows,,,,,,
soy,,,,,,
soybean,lu_soybeans,Soybeans,Soybeans,,SOYBEANS,
soybean_meal,,Soymeals,,,,
soybeans,lu_soybeans,Soybeans,Soybeans,,SOYBEANS,
specialty_crops,,,,,,
spring_planting,?,,,,,
staple_food,?,,,,,
stone_fruit,,"Fruits, fresh",,,,
strawberries,,"Fruits, fresh",Strawberries,,STRAWBERRIES,
sugar,,,,,,
sugar_beet,,,Sugar beets,,"BEETS, SUGARBEETS",
sugar_beets,,,Sugar beets,,"BEETS, SUGARBEETS",
sugar_cane,,,Sugarcane for sugar and seed,,,
sugar_mills,,,,,,
sugarcane,,,,,SUGARCANE,
sugars,,,,,,
sunflower,,,Sunflower,,SUNFLOWER,
sweet_potato,,,Sweet potatoes,,SWEET POTATOES,
swine,,,,,,
tea,,,,,"ROSE, HYBRID TEA",
tillers,,,,,,
tomato,,"Fruits, fresh",Tomatoes,,TOMATOES,
tomatoes,,"Fruits, fresh",Tomatoes,,TOMATOES,
tuna,,,,,,
unharvested,?,,,,,
usda,?,,,,,
vegetable,,"Veggies, fresh",Vegetables and melons,,,
vegetable_crops,,"Veggies, fresh",,,VEGETABLE TOTALS? (proxy),
vegetable_oil,,Vegetable Oils,,,,
vegetable_oils,,Vegetable Oils,,,,
vegetables,,"Veggies, fresh",,,VEGETABLES,
veterinary,,,,,,
vietnamese_rice,rice,Rice,,,RICE,
walnuts,tree nut,Tree Nut,Walnuts,,WALNUTS,
water_resources,,,,,,
weed,,,,,,
weevil,,,,,,
weevils,?,,,,,
wetness,?,,,,,
wheat,wheat,Wheat,Wheat,,WHEAT,
wheat_barley,wheat,Wheat,Wheat,,BARLEY,
wheat_flour,wheat,Wheat,Wheat,,,
wheat_growers,wheat,Wheat,Wheat,,,
wheat_harvested,wheat,Wheat,Wheat,,,
wine,,,,,,
winter_wheat,wheat,Wheat,Wheat,,,
wool,,Animal Product,Wool,,WOOL,
yarn,,,,,,
